date,quantity
2018-01,1
2018-02,0
2018-03,5
2018-04,2
2018-05,2
2018-06,1
2018-07,1
2018-08,5
2018-09,12
2018-10,6
2018-11,5
2018-12,6
2019-01,18
2019-02,19
2019-03,23
2019-04,18
2019-05,17
2019-06,10
2019-07,12
2019-08,21
2019-09,31
2019-10,24
2019-11,9
2019-12,7
2020-01,25
2020-02,5
2020-03,14
2020-04,18
2020-05,11
2020-06,32
2020-07,35
2020-08,32
2020-09,25
2020-10,24
2020-11,27
2020-12,27
2021-01,21
2021-02,41
2021-03,22
2021-04,21
2021-05,15
2021-06,26
2021-07,27
2021-08,39
2021-09,38
2021-10,31
2021-11,28
2021-12,41
2022-01,33
2022-02,26
2022-03,30
2022-04,14
2022-05,29
2022-06,43
2022-07,31
2022-08,30
2022-09,32
2022-10,37
2022-11,16
2022-12,36
2023-01,33
2023-02,46
2023-03,32
2023-04,20
2023-05,32
2023-06,42
2023-07,48
2023-08,61
2023-09,45
2023-10,43
2023-11,38
2023-12,34
2024-01,47
2024-02,42
2024-03,55
2024-04,69
2024-05,41
2024-06,42
2024-07,39
2024-08,25
2024-09,43
2024-10,38
2024-11,22
2024-12,29
2025-01,49
2025-02,48
2025-03,37
